"Название ресурса","URL-адрес ресурса","Тематики ресурса","Тип ресурса","Медиахолдинг","Данные Метрики","Посетители (кросс-девайс)","Посетители (браузер)","Среднее время","Доля пользователей приложения","Дневная аудитория"
"oknews.site","oknews.site","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","","","2570000","3400000","","",""
"Портал OKA.FM - новости Серпухова, происшествия...","oka.fm","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","","","2560000","3370000","","",""
"Политические новости и аналитика. Политика дома...","infox.sg","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","","","2520000","3610000","","",""
"Петербургский правовой портал","ppt.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","","","2490000","3380000","","",""
"Народные Новости — информационное агентство","nation-news.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","","","2400000","3210000","","",""
"Новости InfoNIAC.ru","infoniac.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","","да","2386350","3159750","00:02:21","0.0","108039"
"Sputnik Грузия: последние новости 2018 сегодня онлайн","sputnik-georgia.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","","","2360000","3130000","","",""
"«Newsru.com» — новостной портал","newsru.com","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","","да","2352863","3386100","00:10:05","0.0","159483"
"«Бизнес Оnline» — электронная газета","business-gazeta.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","","","2350000","3320000","","",""
"1RRE — «1Pre.ru» — аналитический портал","1rre.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","","","2270000","3070000","","",""
"«Нижний Новгород онлайн» — городской портал","nn.ru","Новости и СМИ","Новости","HSM","да","2169747","3131250","00:22:16","0.0","118547"
"«The Village» — городская интернет-газета","the-village.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","","да","2136706","3187650","00:03:48","0.0","113211"
"Новости :: :: RusNews","rus-news.net","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","","","2080000","2790000","","",""
"NEWS.ru","news.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","","","2050000","2800000","","",""
"«M24.ru» — московское сетевое издание","m24.ru","Новости и СМИ","Новости","","","2040000","2790000","","",""
"«Росбалт» — информационное агентство","rosbalt.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","","да","2024373","2804400","00:02:59","0.0","97486"
"«Интерфакс» — информационное агентство","interfax.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","","","2010000","2890000","","",""
"RUPOSTERS - новости, которые вы заслужили!","ruposters.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","","да","1912765","3615400","00:01:52","0.0","93535"
